"NG1.genes.results","NG2.genes.results","NG3.genes.results","RPM1.genes.results","RPM2.genes.results","RPM3.genes.results"
"ENSMUSG00000040812",11,2.74,12.84,15.19,20.03,21.04
"ENSMUSG00000040813",2344,3126,2473,1685,1625,1471
"ENSMUSG00000040818",284.03,207,183.16,792.02,647.83,838
"ENSMUSG00000040820",563,290,365,648,903,850
"ENSMUSG00000040822",261.76,342.75,249.61,537.73,381.01,407.39
"ENSMUSG00000040824",2051,3026,2818.21,2009,1556.52,1440
"ENSMUSG00000040828",15,14,9,56,45,45
"ENSMUSG00000040829",0,1.07,1.28,4.48,23.9,12.37
"ENSMUSG00000040836",0,0,0,0,0,2
"ENSMUSG00000040838",0,0,0,2,1,2
"ENSMUSG00000040841",84,43,63,190,200,172
"ENSMUSG00000040842",3037,3274,3226,2848,2678,2553
"ENSMUSG00000040843",1429,1694,1400,2359,1685,2013
"ENSMUSG00000040848",4792,5584,4305,3795,3317,3689
"ENSMUSG00000040850",1242,1336,964,4020,2964,3708
"ENSMUSG00000040852",30,22,16,6,20,13
"ENSMUSG00000040855",0,1,0,25,14,19
"ENSMUSG00000040856",0,0,0,0,0,0
"ENSMUSG00000040857",1205,1136,1268,881,946,772
"ENSMUSG00000040859",1545,1962,1545,1124,1122,1067
"ENSMUSG00000040860",142,87,109,474,693,546
"ENSMUSG00000040865",320,315,281,654,602,726
"ENSMUSG00000040866",0,0,0,0,1,0
"ENSMUSG00000040867",1,0,1,2,2,1
"ENSMUSG00000040875",1,5,5,6,4,1
"ENSMUSG00000040877",111,115,87,164,134,150
"ENSMUSG00000040883",746,773,894,704,740,615
"ENSMUSG00000040888",1514.17,1471,1817.99,570,687.92,592.87
"ENSMUSG00000040891",10,3,9,11,8,8
"ENSMUSG00000040896",0,0,0,4,2,1
"ENSMUSG00000040899",0,0,0,0,0,0
"ENSMUSG00000040901",0,0,0,0,0,0
"ENSMUSG00000040904",155.67,192.13,218.47,169.28,128.48,98.91
"ENSMUSG00000040907",10325,5446,10770,2729,6992,4525
"ENSMUSG00000040913",1740,1913,1920,1072,1100,916
"ENSMUSG00000040918",1802,1460,1553,1101,1075,1157
"ENSMUSG00000040919",0,0,0,0,1,0
"ENSMUSG00000040928",802,527,636,995,1104,1176
"ENSMUSG00000040929",0,0,0,0,0,0
"ENSMUSG00000040935",0,0,1,0,0,1
"ENSMUSG00000040936",26,30,22,37,35,35
"ENSMUSG00000040938",0,3,1,5,10,7
"ENSMUSG00000040940",1275,1225,1140,1080,1654,1271
"ENSMUSG00000040943",864,688,694,1096,1204,1454
"ENSMUSG00000040945",3853,3631,3773,2233,1998,1905
"ENSMUSG00000040950",1,0,0,8.03,7.05,2.02
"ENSMUSG00000040952",40155.21,48524.38,49909.02,26826.95,27077.53,23441.74
"ENSMUSG00000040957",0,1,0,3,10,7
"ENSMUSG00000040963",8,3,1,14,16,12
"ENSMUSG00000040964",896,968,860,700,706,630
"ENSMUSG00000040966",0,0,0,1,2,0
"ENSMUSG00000040969",0,0,0,0,0,1
"ENSMUSG00000040972",0,0,0,0,0,0
"ENSMUSG00000040978",0,0,0,2,3,0
"ENSMUSG00000040985",0,0,0,1,0,0
"ENSMUSG00000040987",3,2,3,9,4,7
"ENSMUSG00000040990",1873.32,1446.93,1423,2847.25,3820.09,3583.93
"ENSMUSG00000040997",1692,1417,1786,1294,1490,1245
"ENSMUSG00000040998",3,2,2,16,14,19
"ENSMUSG00000041000",10,9,10,70,94,58
"ENSMUSG00000041009",1,2,1,4,3,1
"ENSMUSG00000041012",0,1,0,5,2,5
"ENSMUSG00000041014",0,0,0,0,0,0
"ENSMUSG00000041020",0,0,0,2,1,1
"ENSMUSG00000041025",738.25,508,584,869,982,992
"ENSMUSG00000041028",9943,15781,7988,24510,9527,15232
"ENSMUSG00000041035",531,415,569,323,369,327
"ENSMUSG00000041037",629.03,694.92,613.82,721.57,621.66,649.49
"ENSMUSG00000041040",1761,1509,1386,2102,2374,2337
"ENSMUSG00000041044",0,0,0,0,0,0
"ENSMUSG00000041046",0,2,2,5,1,4
"ENSMUSG00000041052",0,0,0,0,0,1
"ENSMUSG00000041057",882,858,789,1215,1211,1258
"ENSMUSG00000041058",272,301,272,647,455,638.95
"ENSMUSG00000041062",0,0,0,0,5,2
"ENSMUSG00000041064",20,22,29,5,6,7
"ENSMUSG00000041068",0,0,0,0,0,0
"ENSMUSG00000041073",14,7,10,8,17,15
"ENSMUSG00000041075",1950,1036,1530,896,1238,1126
"ENSMUSG00000041078",0,0,0,2,2,1
"ENSMUSG00000041079",80,74,77,118,114,114
"ENSMUSG00000041084",1964,4685,1471,7751,2460,4196
"ENSMUSG00000041096",445,625,279,806,553,638
"ENSMUSG00000041112",750,483,642,571,727,714
"ENSMUSG00000041115",970,926,962,1143,1205,1104
"ENSMUSG00000041117",0,0,3.61,4,2.99,6
"ENSMUSG00000041119",0,0,0,0,0,0
"ENSMUSG00000041120",17,20,18,17,20,17
"ENSMUSG00000041124",358,266,268,730,646,743
"ENSMUSG00000041126",415,454,500,346,463,419
"ENSMUSG00000041130",1056,1335,1034,1109,1175,1049
"ENSMUSG00000041132",856,912,687,925,896,886
"ENSMUSG00000041133",745,718,672,1475,1538,1460
"ENSMUSG00000041134",0,0,0,0,0,0
"ENSMUSG00000041135",946,529,682,1001,1124,1208
"ENSMUSG00000041138",0,0,0,0,0,0
"ENSMUSG00000041141",0,0,0,0,2,1
"ENSMUSG00000041143",118,156,172,174,206,183
"ENSMUSG00000041144",0,0,0,0,1,0
"ENSMUSG00000041147",11,12,14,101,106,103
"ENSMUSG00000041153",688,559,536,625,841,791
"ENSMUSG00000041161",115,146,114,201,198,188
"ENSMUSG00000041164",2520,2500,2690,1983,2692,2162
"ENSMUSG00000041165",0,0,0,1,1,2
"ENSMUSG00000041168",9146,11237,8074,12819,10970,10417
"ENSMUSG00000041180",0,0,0,3,6,7
"ENSMUSG00000041187",421,509,473,174,211,159
"ENSMUSG00000041189",121,134,112,138,124,100
"ENSMUSG00000041193",287,509,209,1343,998,1127
"ENSMUSG00000041199",87,70,117,128,125,111
"ENSMUSG00000041202",56,28,57,15,38.01,27
"ENSMUSG00000041203",1089,1270,1189,1378,1448,1151
"ENSMUSG00000041205",3,3,1,16,14,16
"ENSMUSG00000041215",435,289.85,356,884,993,1018.04
"ENSMUSG00000041216",0,0,0,0,0,0
"ENSMUSG00000041219",122,115,129,132,141,106
"ENSMUSG00000041220",75,21,74,59,72,94
"ENSMUSG00000041225",315,338,284,1375,1037,1296
"ENSMUSG00000041229",911,876,805,1203,1288,1336
"ENSMUSG00000041231",155.62,110.83,132.39,749.09,687.05,729.38
"ENSMUSG00000041235",977,1027,875,1502,1860,1859
"ENSMUSG00000041236",775,649,687,2173,1944,2229
"ENSMUSG00000041237",0,0,0,0,0,1
"ENSMUSG00000041238",47,73,37,185,148,177
"ENSMUSG00000041241",412,366,415,389,443,430
"ENSMUSG00000041245",0,0,0,0,1,0
"ENSMUSG00000041247",0,0,0,0,0,0
"ENSMUSG00000041248",0,0,0,0,0,0
"ENSMUSG00000041255",0,0,0,0,0,0
"ENSMUSG00000041258",481,435,405,962,1021,1084
"ENSMUSG00000041261",0,0,1,0,1,0
"ENSMUSG00000041263",948.68,1641.54,1083.38,584.76,445,484
"ENSMUSG00000041264",847,825,839,1108,1030,1067
"ENSMUSG00000041268",385,256,340,1075,1153,1425
"ENSMUSG00000041272",0,0,0,1,0,2
"ENSMUSG00000041278",735,841,716,893,835,851
"ENSMUSG00000041287",1,0,1,1,3,1
"ENSMUSG00000041293",0,0,0,1,0,0
"ENSMUSG00000041297",543,456,384,1820,1359,1606
"ENSMUSG00000041298",137.23,125.54,118.02,482.71,354.68,454.91
"ENSMUSG00000041301",0,0,0,0,0,0
"ENSMUSG00000041303",254,155,184,656,622.99,673
"ENSMUSG00000041308",2908,3022,2382.99,4579,4110,4816
"ENSMUSG00000041309",0,0,0,0,0,0
"ENSMUSG00000041313",2739,4425,2078,2469,832,1460
"ENSMUSG00000041319",221.69,188.56,214.67,361.1,374.28,310.19
"ENSMUSG00000041323",0,0,0,1,2,2
"ENSMUSG00000041324",0,1,0,4.32,4,3
"ENSMUSG00000041328",928,829,780,1522,1562.93,1748.96
"ENSMUSG00000041329",19,14,20,125,294,205
"ENSMUSG00000041333",0,0,0,0,0,0
"ENSMUSG00000041341",1888.87,1380,1485.33,1089.1,1380.21,1349.08
"ENSMUSG00000041343",2.07,1.03,0,18,8.26,22.35
"ENSMUSG00000041346",71,72,69,135,127,117
"ENSMUSG00000041347",0,0,1,2,7,5
"ENSMUSG00000041351",128,99,129,135,311,236
"ENSMUSG00000041353",58,51,65,124,89,91
"ENSMUSG00000041354",661,470,636,907,1688,1219
"ENSMUSG00000041355",4826,14371,4959,17182.01,6627,9457
"ENSMUSG00000041358",0,0,0,0,1,0
"ENSMUSG00000041359",0,0,0,0,1,0
"ENSMUSG00000041360",353,374,323,998,850,907
"ENSMUSG00000041361",1,0,0,0,0,0
"ENSMUSG00000041362",1382,856,894,3255,4109,4157
"ENSMUSG00000041372",0,0,0,2,2,4
"ENSMUSG00000041375",1307,1497,1405,616,638,586
"ENSMUSG00000041377",1,1,1,0,2,1
"ENSMUSG00000041378",0,0,0,0,0,0
"ENSMUSG00000041380",0,0,0,0,1,1
"ENSMUSG00000041390",1454,1476,1201,1535,1304,1425
"ENSMUSG00000041396",51,30,37,153,127,143
"ENSMUSG00000041399",0,0,0,0,0,0
"ENSMUSG00000041406",117.96,98.11,115.89,255.21,232.08,237.8
"ENSMUSG00000041408",1438,1506,1263,3603,2883,3581
"ENSMUSG00000041415",478,378,357,1008,1063,1131
"ENSMUSG00000041417",471,314,465,582,656,726
"ENSMUSG00000041420",100,145,145,131,178,143
"ENSMUSG00000041423",1,0,3,0,2,1
"ENSMUSG00000041426",284,215,223,293,277,300
"ENSMUSG00000041429",178,114,146,186,182,162
"ENSMUSG00000041431",52,71,92,21,26.77,20.78
"ENSMUSG00000041438",1491,1342,1381,1545,1378,1447
"ENSMUSG00000041439",678,610,482,2354,2948,2974
"ENSMUSG00000041440",105,172,60,258,184,230
"ENSMUSG00000041444",0,0,0,0,0,1
"ENSMUSG00000041445",1,1,0,1,4,2
"ENSMUSG00000041449",0,0,0,1,0,0
"ENSMUSG00000041453",11527.6,11014.05,11066.13,9233.15,9091.6,9414.13
"ENSMUSG00000041459",1452.94,1323.29,1340.97,3844.81,3567.96,3980.3
"ENSMUSG00000041460",11,10,16,22,33,30
"ENSMUSG00000041468",0,0,0,0,0,0
"ENSMUSG00000041471",53,49.05,40.16,195.94,170.82,203
"ENSMUSG00000041476",0,0,0,1,1,0
"ENSMUSG00000041477",106,137,106,109,163,139
"ENSMUSG00000041479",0,2.98,0,1,1.63,1.86
"ENSMUSG00000041481",0,0,0,0,0,0
"ENSMUSG00000041482",0,0,3,0,0,2
"ENSMUSG00000041483",316,182,271,743,981,1098
"ENSMUSG00000041488",531,428,419,607,585,636
"ENSMUSG00000041491",46,36,50,160,189,178
"ENSMUSG00000041498",4,9,10,3,8,5
"ENSMUSG00000041505",0,0,0,1,0,0
"ENSMUSG00000041506",597,562,757,345,384,288
"ENSMUSG00000041512",0,0,0,0,0,0
"ENSMUSG00000041515",2171,1758,1994,913,1522,1139
"ENSMUSG00000041523",0,1,0,0,1,0
"ENSMUSG00000041528",1049.8,841.39,916.55,1091.04,1255.22,1033.13
"ENSMUSG00000041530",761,429.72,428.77,1109.44,1204,1318
"ENSMUSG00000041534",0,0,0,0,0,1
"ENSMUSG00000041536",0,0,0,0,0,0
"ENSMUSG00000041538",25,10,15,0,6,1
"ENSMUSG00000041540",0,0,1,0,1,0
"ENSMUSG00000041544",2,0,2,7,7,8
"ENSMUSG00000041548",30,29,12,60,56,64
"ENSMUSG00000041550",0,0,0,1,0,0
"ENSMUSG00000041552",720,414,537,920,648,932
"ENSMUSG00000041556",261,227,291,83,191,138
"ENSMUSG00000041559",0,0,0,0,0,1
"ENSMUSG00000041560",13495,14165,14661,6363,6362.01,5352
"ENSMUSG00000041565",0,0,0,0,0,0
"ENSMUSG00000041566",0,0,1,6,1,3
"ENSMUSG00000041567",0,0,0,7,5,5
"ENSMUSG00000041570",606,413,519,1554,1458,1746
"ENSMUSG00000041571",2467,2349,3389,1054,1280,1002
"ENSMUSG00000041577",0,0,0,0,1,0
"ENSMUSG00000041578",1,0,0,1,1,1.98
"ENSMUSG00000041583",0,0,0,0,0,0
"ENSMUSG00000041592",1,2,0,5,11,11
"ENSMUSG00000041594",20,17,12,149,98,148
"ENSMUSG00000041596",0,0,0,0,0,0
"ENSMUSG00000041598",865,812,1022,575,700,618
"ENSMUSG00000041605",0,0,0,0,0,0
"ENSMUSG00000041607",8233,5601,7033,3810,5421,5085
"ENSMUSG00000041608",0,0,0,0,1,0
"ENSMUSG00000041609",19,19,10,97,128,112
"ENSMUSG00000041616",2,0,1,2,2,3
"ENSMUSG00000041617",3,1,1,1,3,3
"ENSMUSG00000041620",0,0,0,1,1,1
"ENSMUSG00000041623",198,183,158,254,215,188
"ENSMUSG00000041624",0,0,0,0,0,0
"ENSMUSG00000041625",144,111,129,114,165,148
"ENSMUSG00000041629",1339.56,1785.27,1382.63,1102.15,1151.22,994
"ENSMUSG00000041632",380,412,439,294,262,283
"ENSMUSG00000041633",1,0,1,0,2,4
"ENSMUSG00000041638",4582.82,4584.32,4346.11,3776.6,4365.14,3928.65
"ENSMUSG00000041642",4554,2898,4345,1771,3172,2564
"ENSMUSG00000041644",0,0,0,0,0,0
"ENSMUSG00000041645",2717,3339,2710,2707,2794,2507
"ENSMUSG00000041649",25,31,18,86,69,78
"ENSMUSG00000041650",251,211,176,551,492,510
"ENSMUSG00000041653",2,0,0,1,1,0
"ENSMUSG00000041654",2696,2468,2093,3413,3613,3273
"ENSMUSG00000041658",45,18,39,60,92,71
"ENSMUSG00000041660",0,0,0,0,0,0
"ENSMUSG00000041669",1,0,0,0,0,0
"ENSMUSG00000041670",0,0,0,0,0,0
"ENSMUSG00000041671",56.85,60.56,48.85,219.44,175.55,191.15
"ENSMUSG00000041673",0,0,0,0,2,1
"ENSMUSG00000041679",3,7,5,19,34,21
"ENSMUSG00000041681",0,0,0,0,0,0
"ENSMUSG00000041684",296,248,220,666,658,744
"ENSMUSG00000041685",500,413,459,1879,1449,1877
"ENSMUSG00000041688",0,0,0,0,0,0
"ENSMUSG00000041695",1072,494,794,537,787,917
"ENSMUSG00000041696",11,0,0,7,12,8
"ENSMUSG00000041697",5833,7531,7271,4471,4093,3603
"ENSMUSG00000041698",0,0,0,0,0,0
"ENSMUSG00000041700",0,0,0,0,0,0
"ENSMUSG00000041702",593,463,449,923,916,1121
"ENSMUSG00000041703",1,0,0,0,0,0
"ENSMUSG00000041707",35,16,24,27,27,26
"ENSMUSG00000041708",0,0,0,0,1,1
"ENSMUSG00000041710",0,0,1,1,0,0
"ENSMUSG00000041712",1444.86,1425.04,1435.32,767.87,891.39,839.3
"ENSMUSG00000041716",101.53,82.61,73.43,151.37,194.82,151.72
"ENSMUSG00000041718",108,74,66,164,130,180
"ENSMUSG00000041720",1755,1263.86,1385.73,2096,3040,2753.92
"ENSMUSG00000041722",0,0,0,0,0,0
"ENSMUSG00000041729",0,1,0,4,6,7
"ENSMUSG00000041730",0,0,0,3,0,1
"ENSMUSG00000041731",46,15,19,25,26,18
"ENSMUSG00000041733",609,521,556,484,542,504
"ENSMUSG00000041734",0,0,0,0,0,0
"ENSMUSG00000041735",0,0,0,0,0,0
"ENSMUSG00000041736",4303,5096,4796,4405,4274,3625
"ENSMUSG00000041737",0,0,0,3,0,2
"ENSMUSG00000041740",4719,5394,4490,6566,6116,5492
"ENSMUSG00000041741",0,0,0,0,0,0
"ENSMUSG00000041747",737,627,673,795,705,757
"ENSMUSG00000041750",0,0,0,0,0,0
"ENSMUSG00000041754",43,57,36,49,103,90
"ENSMUSG00000041757",129,60,102,101,167,120
"ENSMUSG00000041762",48,15,32,77,83,81
"ENSMUSG00000041763",1192,1381,1130,2526,1995,2509
"ENSMUSG00000041765",509,576,531,687,695,603
"ENSMUSG00000041769",886,1065,940,704,666,644
"ENSMUSG00000041771",0,0,0,3,0,3
"ENSMUSG00000041773",792,407,750,956,1030,1029
"ENSMUSG00000041774",947.37,832.18,1129.48,229.85,421.55,293.3
"ENSMUSG00000041775",532,470,531,487,573,494
"ENSMUSG00000041777",453,616,494,857,849,836
"ENSMUSG00000041779",508,446,453,453,505,528
"ENSMUSG00000041781",662,575,529,1116,944.16,1004
"ENSMUSG00000041782",0,1,0,0,0,1
"ENSMUSG00000041791",0,0,0,0,0,0
"ENSMUSG00000041794",0,0,0,2,3,8
"ENSMUSG00000041797",0,0,0,2,0,0
"ENSMUSG00000041798",0,0,0,1,2,3
"ENSMUSG00000041801",844,962,1099,686,643,575
"ENSMUSG00000041805",0,0,0,0,0,0
"ENSMUSG00000041809",56,46,66,18,40,35
"ENSMUSG00000041815",4351,4567,4290,2849,2646,2555
"ENSMUSG00000041817",1,6,6.22,3,6.23,5.19
"ENSMUSG00000041827",87,81,116,128,147,141
"ENSMUSG00000041828",0,0,0,0,0,0
"ENSMUSG00000041831",1,0,0,4,0,4
"ENSMUSG00000041836",385,195,279,262,442,388
"ENSMUSG00000041837",1024,947,939,838,909,807
"ENSMUSG00000041840",112,118,120,118,144,138
"ENSMUSG00000041841",22619.95,24003.23,23795.73,18166.9,17627.96,16560.38
"ENSMUSG00000041842",6,8,2,26,16,29
"ENSMUSG00000041845",112,91,166,51,54,55
"ENSMUSG00000041846",697,607,713,1276,1118,1396
"ENSMUSG00000041849",70,60,41,336,276,357
"ENSMUSG00000041852",735,642,675,1372,1287,1371.41
"ENSMUSG00000041857",0,0,0,0,0,0
"ENSMUSG00000041859",65,136,131,114,155,139
"ENSMUSG00000041870",3081,1831,2855,1573,2385,2044
"ENSMUSG00000041872",0,0,0,0,1,1
"ENSMUSG00000041879",1378,1074,1059,1804,1985,1827
"ENSMUSG00000041881",2959,3855,3572,3323,2930,2521
"ENSMUSG00000041885",0,0,0,0,0,0
"ENSMUSG00000041886",1.06,1.99,1,2,1,0
"ENSMUSG00000041889",0,0,2,1,2,2
"ENSMUSG00000041890",1232,976,957.03,1897,1873.37,1871
"ENSMUSG00000041891",3303,5749,2512,12381,5696,8121
"ENSMUSG00000041895",643,592,497,536,659,603
"ENSMUSG00000041907",0,0,0,0,0,0
"ENSMUSG00000041911",35,15,13,24,43,34
"ENSMUSG00000041912",245,221,219,1131.45,869,974.89
"ENSMUSG00000041915",861,582,585,1085,1011,1165
"ENSMUSG00000041920",649.27,451.81,598.18,665.22,968.94,878.1
"ENSMUSG00000041921",314,322,350,177,288,243
"ENSMUSG00000041923",0,0,0,0,0,0
"ENSMUSG00000041926",933,797,1163,1065,1386,1080
"ENSMUSG00000041930",1,0,0,1,2,5
"ENSMUSG00000041935",764,555,657,1040,844,1176
"ENSMUSG00000041936",1824,1181,1892,1075,1663,1383
"ENSMUSG00000041939",277,304,355,152,184,131
"ENSMUSG00000041945",149,68,118,293,325,334
"ENSMUSG00000041949",64,46,53,134,127,115
"ENSMUSG00000041954",177,149,218,47,101,88
"ENSMUSG00000041957",2819,3014,2472,2498,2764,2781
"ENSMUSG00000041958",2291,1897,2430,2795,3463,2855
"ENSMUSG00000041959",17101,16786,18157,17475,20396,18162
"ENSMUSG00000041961",125,85,120,183,187,204
"ENSMUSG00000041966",134.02,61.03,91.06,280.01,312.01,366.02
"ENSMUSG00000041974",724.34,654.88,508.13,2874.03,2062.43,2439.19
"ENSMUSG00000041975",50,14,37,129,162,130
"ENSMUSG00000041977",1441,972,1045,2324.87,3315.7,2899.34
"ENSMUSG00000041984",0,0,0,0,1,0
"ENSMUSG00000041986",0,0,0,0,0,0
"ENSMUSG00000041991",0,0,0,0,0,0
"ENSMUSG00000041992",387,227,295,111,265,225
"ENSMUSG00000041995",249,238,231,246,280,233
"ENSMUSG00000041997",509.99,461.96,380,1611.9,1358.97,1631.92
"ENSMUSG00000042002",0,0,0,0,0,1
"ENSMUSG00000042010",20,12,21,20,46,36
"ENSMUSG00000042015",273,227,229,414,439,449
"ENSMUSG00000042029",50,69,61,125,117,131
"ENSMUSG00000042031",0,0,0,0,0,0
"ENSMUSG00000042032",1141,1086,941,1607,1576,1674
"ENSMUSG00000042035",54,21,59,150,176,214
"ENSMUSG00000042041",0,0,0,0,0,0
"ENSMUSG00000042042",331,453,295,1934,1285,1686
"ENSMUSG00000042043",2758,3143.99,3004,3167,2934,2801
"ENSMUSG00000042045",0,1,0,5,11,11
"ENSMUSG00000042046",537,477,408,819,781,879
"ENSMUSG00000042050",144,90,123,440,494,490
"ENSMUSG00000042055",814,596,639,1264,1276,1357
"ENSMUSG00000042063",68,59,57,505,457,563
"ENSMUSG00000042064",1,5,4,5,3,11
"ENSMUSG00000042066",228,196,176,653,666,624
"ENSMUSG00000042073",378,367,419,127,168,141
"ENSMUSG00000042078",0,1,0,1,0,0
"ENSMUSG00000042079",7044.81,7456.33,5571.92,13602.29,10002.21,11495.62
"ENSMUSG00000042082",18761.63,11856.53,14596.6,1735.88,5848.43,4669.57
"ENSMUSG00000042087",6.96,8.12,7.99,22.71,40.65,35.47
"ENSMUSG00000042092",0,0,0,1,0,0
"ENSMUSG00000042096",0,0,0,0,1,1
"ENSMUSG00000042097",20,11,8,124,131,162
"ENSMUSG00000042099",44,42,40,81,113,72
"ENSMUSG00000042102",0,0,0,0,0,0
"ENSMUSG00000042104",8,6,4,23,36,33
"ENSMUSG00000042105",253,147,198,644,763,846
"ENSMUSG00000042106",60,36,51,20,29,33
"ENSMUSG00000042109",8,5,4,21,13,18
"ENSMUSG00000042111",1773.88,1671,1755,1476.97,1676,1463
"ENSMUSG00000042115",0,0,0,0,0,0
"ENSMUSG00000042116",2384,1221.89,2051.15,3294.02,4634,3492
"ENSMUSG00000042118",15.51,14.03,10.9,17.26,29.23,19.08
"ENSMUSG00000042121",991,765,905,892,1133,952
"ENSMUSG00000042124",0,0,0,2,4,1
"ENSMUSG00000042129",7249,4777,5873,4319,5254,5160
"ENSMUSG00000042133",653.04,708,716.18,1705,1456,1567
"ENSMUSG00000042138",352,395,281,907,992,1061
"ENSMUSG00000042148",340,247,292,238,365,313
"ENSMUSG00000042155",7,5,0,12,28,19
"ENSMUSG00000042156",2,2,1,9,3,10
"ENSMUSG00000042157",0,1,0,0,0,0
"ENSMUSG00000042165",5.32,7.2,22.71,0,0,2.98
"ENSMUSG00000042167",781.2,856.51,695.91,1184.41,872.08,1027.12
"ENSMUSG00000042178",117.47,127.79,134.88,356.29,365.77,322.18
"ENSMUSG00000042179",0,0,0,0,0,0
"ENSMUSG00000042182",4,3,2,16,12,14
"ENSMUSG00000042184",0,0,0,0,0,0
"ENSMUSG00000042185",1191,933,1047,903,1200,1105
"ENSMUSG00000042189",0,1,0,1,1,2
"ENSMUSG00000042190",0,0,0,0,1,1
"ENSMUSG00000042195",0,0,0,0,0,0
"ENSMUSG00000042197",666,435,555,754,871,969
"ENSMUSG00000042198",391,596,414,481,285,338
"ENSMUSG00000042200",0,1,0,0,0,2
"ENSMUSG00000042202",180.08,166.76,192.44,385.37,325.88,389.75
"ENSMUSG00000042203",339,254,331,502,510,515
"ENSMUSG00000042207",2096,1901,1586,3318,3162,3357
"ENSMUSG00000042208",39,34,36,353,249,359
"ENSMUSG00000042210",382,344,469,264,302,225
"ENSMUSG00000042211",1671,1453,1232,2090,1852,1990
"ENSMUSG00000042212",0,0,0,0,0,0
"ENSMUSG00000042213",19,12,15,54,81,71
"ENSMUSG00000042215",560,343,376,976,1022.99,963
"ENSMUSG00000042216",670,827,687,483,872,725
"ENSMUSG00000042219",0,0,0,0,0,0
"ENSMUSG00000042225",70,51,61,184,139,169
"ENSMUSG00000042228",3070,2705,2633.76,4321,4789,4892
"ENSMUSG00000042229",726,963,722,1415,1100,1142
"ENSMUSG00000042240",0,0,0,0,0,0
"ENSMUSG00000042243",0,0,0,0,0,0
"ENSMUSG00000042244",0,0,0,0,0,0
"ENSMUSG00000042246",0,0,0,0,0,1
"ENSMUSG00000042248",0,0,0,0,1,0
"ENSMUSG00000042249",0,0,1,1,1,1
"ENSMUSG00000042250",0,0,0,2,3,1
"ENSMUSG00000042251",0,1,0,0,2,0
"ENSMUSG00000042254",1,0,1,6,7,5
"ENSMUSG00000042256",0,0,0,0,0,0
"ENSMUSG00000042258",0,0,0,1,0,0
"ENSMUSG00000042262",1,0,4,0,0,0
"ENSMUSG00000042265",29,11,29,67,283,226
"ENSMUSG00000042268",13,10,21,14,39,30
"ENSMUSG00000042269",0,0,0,0,0,1
"ENSMUSG00000042271",323,273,329,932,807,964
"ENSMUSG00000042272",1170,902,887,1900,1959,2098
"ENSMUSG00000042275",167,145,163,188,142,158
"ENSMUSG00000042279",0,0,0,4,2,2
"ENSMUSG00000042282",0,0,0,3,1,1
"ENSMUSG00000042284",0,0,0,1,0,0
"ENSMUSG00000042286",166,137,169,127,416,302
"ENSMUSG00000042289",2762.06,2117.21,2791.96,1077.9,1689.31,1364.79
"ENSMUSG00000042292",1658,1359,1488,1422,1892,1498
"ENSMUSG00000042293",960,858,1097,877,898,769
"ENSMUSG00000042298",168,155,141,313,323,361
"ENSMUSG00000042302",96,55,65,222,213,235
"ENSMUSG00000042303",530,395,533,554,802,651
"ENSMUSG00000042305",1205,1395,1117,1310,1249,1248
"ENSMUSG00000042306",0,1,0,1,1,3
"ENSMUSG00000042308",1874.98,1909.6,1716.84,1603.7,1766.58,1682.08
"ENSMUSG00000042312",851,943,989,400,495,413
"ENSMUSG00000042320",2,2,4,37,38,42
"ENSMUSG00000042323",383,407,372,1573,1124,1612
"ENSMUSG00000042328",470,424,536,442,574,466
"ENSMUSG00000042331",1942,1402,1713,1655,2233,2087
"ENSMUSG00000042333",11.35,5.45,10.4,17.2,17.12,21.03
"ENSMUSG00000042340",4,2,5,8,6,9
"ENSMUSG00000042345",0,1,0,0,0,0
"ENSMUSG00000042348",79,90,63,288,201,249
"ENSMUSG00000042349",58,67,59,250,142,156
"ENSMUSG00000042350",1267,1365,985,2308,1902,2229
"ENSMUSG00000042351",0,0,0,0,0,0
"ENSMUSG00000042353",0,0,0,0,0,0
"ENSMUSG00000042354",1001,974,1028,883,796,827
"ENSMUSG00000042357",0,0,0,0,0,0
"ENSMUSG00000042359",0,0,0,2,2,0
"ENSMUSG00000042363",156,163,182,457,379,440
"ENSMUSG00000042364",2228,1822,1971,2127,2473,2494
"ENSMUSG00000042367",0,0,0,1,5,5
"ENSMUSG00000042369",332,291,264,858,861,836
"ENSMUSG00000042371",1,0,1,1,4,1
"ENSMUSG00000042372",0,0,0,0,0,0
"ENSMUSG00000042377",1,0,1,1,0,3
"ENSMUSG00000042379",0,0,1,1,2,0
"ENSMUSG00000042380",474,449,526,553,635,498
"ENSMUSG00000042385",0,1,0,1,1,0
"ENSMUSG00000042386",0,0,0,1,3,9
"ENSMUSG00000042388",0,0,0,0,2,0
"ENSMUSG00000042389",62,86,69,193,120,139
"ENSMUSG00000042390",4562,4117,4420,2545,2924,2865
"ENSMUSG00000042396",1630.68,1490,1527,1769,1614,1814
"ENSMUSG00000042401",1,0,1,0,0,1
"ENSMUSG00000042404",1920,1786,1721,2282,2250,2044
"ENSMUSG00000042406",10729,20561,10943,4655,3996,4057
"ENSMUSG00000042408",75,72.39,76,381,317,384.82
"ENSMUSG00000042410",978,782,909,2394,2049,2475
"ENSMUSG00000042414",0,0,0,1,8,7
"ENSMUSG00000042417",10,2,6,73,167,104
"ENSMUSG00000042419",864,1088,916.99,284,332,239
"ENSMUSG00000042423",1773,1912,1846,1353,1408,1168
"ENSMUSG00000042425",0,0,0,0,1,2
